1,1,343,6222,3489,4098,4073,1553
2,2,5180,4965,4748,5327,4504,1287
3,3,1296,4823,179,4075,283,3490
4,4,4267,4992,5130,2815,900,2252
5,5,1539,4013,1102,4243,4847,5777
6,6,2386,1398,5020,2200,237,4265
7,7,2393,5409,4547,4074,342,5898
8,8,6167,4582,120,5410,5022,1369
9,9,4533,4083,5063,3976,2556,1876
10,10,1051,2614,4902,4451,2187,2172
11,11,5317,4901,1553,1758,3824,4965
12,12,1287,4992,4265,4847,2393,4098
13,13,4013,4504,4073,4075,5130,5898
14,14,5063,5180,283,1539,1398,6167
15,15,5777,1051,2815,343,2252,5410
16,16,5327,342,900,3489,2200,4083
17,17,3824,2614,4823,4074,4533,4902
18,18,5409,5020,179,4582,4243,4748
19,19,3976,4547,3490,237,1876,1758
20,20,2172,1369,1296,5317,1102,4267
21,21,5022,2556,4901,6222,2187,2386
22,22,120,5777,4504,4451,5063,2614
23,23,4823,4074,5020,5410,4098,5327
24,24,1758,2815,4582,4083,1539,4902
25,25,4013,3490,1398,342,5317,2393
26,26,900,4243,4073,1296,1287,2187
27,27,4265,4748,5022,343,4547,1102
28,28,4075,4992,5180,3976,120,4533
29,29,283,237,2252,1553,1369,2556
30,30,5409,3489,5130,3824,4901,2172
31,31,5898,4267,4451,2386,4965,6167
32,32,2200,179,4847,1876,1051,6222
33,33,1758,1296,4243,4074,4504,1398
34,34,283,5777,4083,4098,4992,5022
35,35,1539,2172,5410,237,900,4533
36,36,5317,4547,4451,3489,5180,5020
37,37,6167,4748,4073,1051,2386,2393
38,38,3824,1876,4582,2187,5898,4013
39,39,1102,5130,4265,1553,179,3976
40,40,5327,3490,2252,120,4901,4847
41,41,342,4902,1287,5063,343,4267
42,42,5409,6222,2614,4965,4075,1369
43,43,2556,2815,4547,2200,4823,4013
44,44,1539,1051,1296,2393,3824,5020
45,45,5317,4098,237,4748,1876,5130
46,46,4901,900,4083,4265,5898,5180
47,47,1398,4965,1102,4902,4992,3489
48,48,4243,2815,4075,5022,5063,2172
49,49,1553,2614,2386,4847,342,5410
50,50,4533,2200,4073,179,1758,120
51,51,6167,2187,4504,2252,5409,4823
52,52,4074,2556,343,4451,3490,1369
53,53,5777,3976,4582,4267,6222,5327
54,54,1287,5410,3824,283,2172,4547
55,55,4902,4073,5022,4847,237,5180
56,56,120,2393,2187,2815,4504,1553
57,57,4074,4083,2252,2386,179,1539
58,58,1398,5063,5898,4748,4823,6222
59,59,342,2556,4098,1758,4075,1102
60,60,5327,3489,1876,6167,4265,4243
61,61,5317,283,900,3976,5409,4451
62,62,3490,1287,4965,5777,5020,5130
63,63,2200,4992,343,4582,1296,2614
64,64,1369,4267,4533,4901,4013,1051
65,65,6222,237,6167,3824,1102,4083
66,66,1758,4847,5063,283,5898,3489
67,67,4075,1553,4748,1539,900,3490
68,68,4265,4965,2172,4582,4074,4073
69,69,2252,4451,5022,1296,342,3976
70,70,2393,5130,1369,2200,4243,4902
71,71,5777,5180,2386,2815,5409,1876
72,72,4504,179,5410,4992,2556,5317
73,73,2187,5327,5020,4533,343,4013
74,74,4098,4547,2614,4267,4901,1398
75,75,120,4823,1102,1287,1051,4582
76,76,1758,2172,2393,2252,5180,6222
77,77,4075,4902,5317,6167,5777,2200
78,78,1296,4013,4451,5410,4748,4083
79,79,1369,4098,900,4547,4504,2386
80,80,4847,3976,4965,4243,343,4823
81,81,5409,1398,4533,1287,5022,1553
82,82,4074,3489,1539,120,4267,2556
83,83,3824,4992,1051,5063,3490,4265
84,84,1876,342,4901,5020,4073,283
85,85,179,237,5898,5327,2815,2614
86,86,5130,5410,1758,2187,4823,4083
